#Time;Power[W];RoomTemp[C];RoomHumid[%];EnvTemp[C];EnvHumid[%];EnvRadiation[W/m2];Setpoint[C]
16/07/2017 20:47:11;949.5;30.5;40.3;36.8;38.0;91.0;27
16/07/2017 20:47:17;949.85;30.5;40.3;36.8;38.0;91.0;27
16/07/2017 20:47:24;952.43;30.5;40.4;36.8;38.0;91.0;27
16/07/2017 20:47:31;952.22;30.4;40.3;36.8;38.0;91.0;27
16/07/2017 20:47:37;952.5;30.4;40.3;36.8;38.0;91.0;27
16/07/2017 20:47:46;952.57;30.4;40.4;36.8;38.0;91.0;27
16/07/2017 20:47:53;952.5;30.4;40.4;36.8;38.0;91.0;27
16/07/2017 20:47:59;952.22;30.5;40.3;36.8;38.0;91.0;27
16/07/2017 20:48:06;951.43;30.5;40.3;36.8;38.0;91.0;27
16/07/2017 20:48:12;952.07;30.5;40.3;36.8;38.0;91.0;27
16/07/2017 20:48:19;951.86;30.4;40.4;36.8;38.0;91.0;27
16/07/2017 20:48:26;954.79;30.4;40.4;36.8;38.0;91.0;27
16/07/2017 20:48:32;954.22;30.4;40.4;36.8;38.0;91.0;27
16/07/2017 20:48:41;952.5;30.4;40.5;36.8;38.0;91.0;27
16/07/2017 20:48:48;952.79;30.4;40.4;36.8;38.0;91.0;27
16/07/2017 20:48:55;952.79;30.4;40.4;36.8;38.0;91.0;27
16/07/2017 20:49:02;949.64;30.4;40.4;36.8;38.0;91.0;27
16/07/2017 20:49:08;948.5;30.4;40.4;36.8;38.0;91.0;27
16/07/2017 20:49:15;949.07;30.4;40.4;36.8;38.0;91.0;27
16/07/2017 20:49:21;949.85;30.4;40.4;36.8;38.0;91.0;27
16/07/2017 20:49:28;950.36;30.4;40.4;36.8;38.0;91.0;27
16/07/2017 20:49:35;949.85;30.4;40.4;36.8;38.0;91.0;27
16/07/2017 20:49:41;950.36;30.3;40.4;36.8;38.0;91.0;27
16/07/2017 20:49:48;947.57;30.4;40.5;36.8;38.0;91.0;27
16/07/2017 20:49:55;945.63;30.4;40.6;36.8;38.0;91.0;27
